PROCESS	Ref_num	List_num	expected	upload_1 (over/under)	upload_1 (fold Enrichment)	pval	FDR
macromolecule localization (GO:0033036)	900	33	31.19	+	1.06	6.93E-01	1.00E+00
ribose phosphate biosynthetic process (GO:0046390)	82	3	2.84	+	1.06	7.62E-01	1.00E+00
negative regulation of macromolecule biosynthetic process (GO:0010558)	411	15	14.24	+	1.05	7.80E-01	1.00E+00
protein localization (GO:0008104)	769	28	26.65	+	1.05	7.52E-01	1.00E+00
glycerophospholipid metabolic process (GO:0006650)	110	4	3.81	+	1.05	7.93E-01	1.00E+00
regulation of DNA-templated transcription elongation (GO:0032784)	55	2	1.91	+	1.05	7.16E-01	1.00E+00
DNA-templated DNA replication (GO:0006261)	110	4	3.81	+	1.05	7.93E-01	1.00E+00
DNA recombination (GO:0006310)	248	9	8.59	+	1.05	8.59E-01	1.00E+00
response to nutrient levels (GO:0031667)	193	7	6.69	+	1.05	8.41E-01	1.00E+00
organophosphate metabolic process (GO:0019637)	387	14	13.41	+	1.04	8.85E-01	1.00E+00
protein localization to organelle (GO:0033365)	443	16	15.35	+	1.04	7.88E-01	1.00E+00
establishment of RNA localization (GO:0051236)	111	4	3.85	+	1.04	7.94E-01	1.00E+00
RNA transport (GO:0050658)	111	4	3.85	+	1.04	7.94E-01	1.00E+00
cellular biosynthetic process (GO:0044249)	1915	69	66.36	+	1.04	7.06E-01	1.00E+00
regulation of protein-containing complex assembly (GO:0043254)	84	3	2.91	+	1.03	7.67E-01	1.00E+00
regulation of translational initiation (GO:0006446)	28	1	0.97	+	1.03	1.00E+00	1.00E+00
positive regulation of small molecule metabolic process (GO:0062013)	28	1	0.97	+	1.03	1.00E+00	1.00E+00
negative regulation of phosphorus metabolic process (GO:0010563)	28	1	0.97	+	1.03	1.00E+00	1.00E+00
pheromone-dependent signal transduction involved in conjugation with cellular fusion (GO:0000750)	28	1	0.97	+	1.03	1.00E+00	1.00E+00
chitin metabolic process (GO:0006030)	28	1	0.97	+	1.03	1.00E+00	1.00E+00
aminoglycan metabolic process (GO:0006022)	28	1	0.97	+	1.03	1.00E+00	1.00E+00
response to acid chemical (GO:0001101)	28	1	0.97	+	1.03	1.00E+00	1.00E+00
signal transduction involved in positive regulation of conjugation with cellular fusion (GO:0032005)	28	1	0.97	+	1.03	1.00E+00	1.00E+00
hexose metabolic process (GO:0019318)	56	2	1.94	+	1.03	7.21E-01	1.00E+00
protein transport (GO:0015031)	562	20	19.48	+	1.03	9.03E-01	1.00E+00
cellular macromolecule localization (GO:0070727)	787	28	27.27	+	1.03	8.35E-01	1.00E+00
rRNA metabolic process (GO:0016072)	338	12	11.71	+	1.02	8.78E-01	1.00E+00
phospholipid metabolic process (GO:0006644)	141	5	4.89	+	1.02	8.17E-01	1.00E+00
ribosomal small subunit biogenesis (GO:0042274)	141	5	4.89	+	1.02	8.17E-01	1.00E+00
nucleic acid transport (GO:0050657)	113	4	3.92	+	1.02	7.98E-01	1.00E+00
biosynthetic process (GO:0009058)	2122	75	73.53	+	1.02	8.26E-01	1.00E+00
microtubule cytoskeleton organization (GO:0000226)	85	3	2.95	+	1.02	7.70E-01	1.00E+00
establishment of protein localization (GO:0045184)	627	22	21.73	+	1.01	9.08E-01	1.00E+00
sulfur compound metabolic process (GO:0006790)	114	4	3.95	+	1.01	1.00E+00	1.00E+00
translational initiation (GO:0006413)	57	2	1.98	+	1.01	1.00E+00	1.00E+00
endosome transport via multivesicular body sorting pathway (GO:0032509)	57	2	1.98	+	1.01	1.00E+00	1.00E+00
organophosphate catabolic process (GO:0046434)	57	2	1.98	+	1.01	1.00E+00	1.00E+00
biological_process (GO:0008150)	6013	210	208.37	+	1.01	4.11E-01	1.00E+00
regulation of protein modification by small protein conjugation or removal (GO:1903320)	29	1	1	-	1	1.00E+00	1.00E+00
glucosamine-containing compound metabolic process (GO:1901071)	29	1	1	-	1	1.00E+00	1.00E+00
ribonucleoside diphosphate metabolic process (GO:0009185)	29	1	1	-	1	1.00E+00	1.00E+00
tRNA wobble uridine modification (GO:0002098)	29	1	1	-	1	1.00E+00	1.00E+00
nucleobase-containing compound catabolic process (GO:0034655)	203	7	7.03	-	1	1.00E+00	1.00E+00
regulation of post-translational protein modification (GO:1901873)	29	1	1	-	1	1.00E+00	1.00E+00
regulation of cellular ketone metabolic process (GO:0010565)	29	1	1	-	1	1.00E+00	1.00E+00
regulation of hydrolase activity (GO:0051336)	29	1	1	-	1	1.00E+00	1.00E+00
regulation of response to nutrient levels (GO:0032107)	29	1	1	-	1	1.00E+00	1.00E+00
"endonucleolytic cleavage of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) (GO:0000479)"	58	2	2.01	-	1	1.00E+00	1.00E+00
multivesicular body sorting pathway (GO:0071985)	58	2	2.01	-	1	1.00E+00	1.00E+00
protein localization to membrane (GO:0072657)	146	5	5.06	-	0.99	1.00E+00	1.00E+00
regulation of mitotic cell cycle phase transition (GO:1901990)	117	4	4.05	-	0.99	1.00E+00	1.00E+00
nucleotide metabolic process (GO:0009117)	208	7	7.21	-	0.97	1.00E+00	1.00E+00
regulation of TORC1 signaling (GO:1903432)	30	1	1.04	-	0.96	1.00E+00	1.00E+00
"nuclear-transcribed mRNA catabolic process, nonsense-mediated decay (GO:0000184)"	30	1	1.04	-	0.96	1.00E+00	1.00E+00
positive regulation of conjugation with cellular fusion (GO:0031139)	30	1	1.04	-	0.96	1.00E+00	1.00E+00
purine ribonucleotide catabolic process (GO:0009154)	30	1	1.04	-	0.96	1.00E+00	1.00E+00
regulation of autophagy (GO:0010506)	60	2	2.08	-	0.96	1.00E+00	1.00E+00
primary alcohol metabolic process (GO:0034308)	30	1	1.04	-	0.96	1.00E+00	1.00E+00
RNA polymerase II preinitiation complex assembly (GO:0051123)	30	1	1.04	-	0.96	1.00E+00	1.00E+00
ribonucleotide metabolic process (GO:0009259)	121	4	4.19	-	0.95	1.00E+00	1.00E+00
cellular catabolic process (GO:0044248)	336	11	11.64	-	0.94	1.00E+00	1.00E+00
nucleobase-containing small molecule metabolic process (GO:0055086)	245	8	8.49	-	0.94	1.00E+00	1.00E+00
organic hydroxy compound biosynthetic process (GO:1901617)	92	3	3.19	-	0.94	1.00E+00	1.00E+00
DNA replication (GO:0006260)	123	4	4.26	-	0.94	1.00E+00	1.00E+00
gene expression (GO:0010467)	1324	43	45.88	-	0.94	6.71E-01	1.00E+00
nucleoside phosphate metabolic process (GO:0006753)	216	7	7.49	-	0.94	1.00E+00	1.00E+00
G2/M transition of mitotic cell cycle (GO:0000086)	31	1	1.07	-	0.93	1.00E+00	1.00E+00
ribonucleotide catabolic process (GO:0009261)	31	1	1.07	-	0.93	1.00E+00	1.00E+00
cell cycle G2/M phase transition (GO:0044839)	31	1	1.07	-	0.93	1.00E+00	1.00E+00
mitotic DNA integrity checkpoint signaling (GO:0044774)	31	1	1.07	-	0.93	1.00E+00	1.00E+00
mRNA export from nucleus (GO:0006406)	62	2	2.15	-	0.93	1.00E+00	1.00E+00
aspartate family amino acid metabolic process (GO:0009066)	62	2	2.15	-	0.93	1.00E+00	1.00E+00
cellular response to glucose starvation (GO:0042149)	31	1	1.07	-	0.93	1.00E+00	1.00E+00
amino sugar metabolic process (GO:0006040)	31	1	1.07	-	0.93	1.00E+00	1.00E+00
cell death (GO:0008219)	31	1	1.07	-	0.93	1.00E+00	1.00E+00
negative regulation of protein metabolic process (GO:0051248)	62	2	2.15	-	0.93	1.00E+00	1.00E+00
programmed cell death (GO:0012501)	31	1	1.07	-	0.93	1.00E+00	1.00E+00
apoptotic process (GO:0006915)	31	1	1.07	-	0.93	1.00E+00	1.00E+00
macromolecule methylation (GO:0043414)	62	2	2.15	-	0.93	1.00E+00	1.00E+00
methylation (GO:0032259)	93	3	3.22	-	0.93	1.00E+00	1.00E+00
energy derivation by oxidation of organic compounds (GO:0015980)	155	5	5.37	-	0.93	1.00E+00	1.00E+00
intracellular protein transport (GO:0006886)	344	11	11.92	-	0.92	8.80E-01	1.00E+00
mRNA transport (GO:0051028)	94	3	3.26	-	0.92	1.00E+00	1.00E+00
late endosome to vacuole transport (GO:0045324)	63	2	2.18	-	0.92	1.00E+00	1.00E+00
RNA localization (GO:0006403)	127	4	4.4	-	0.91	1.00E+00	1.00E+00
negative regulation of chromosome organization (GO:2001251)	32	1	1.11	-	0.9	1.00E+00	1.00E+00
nucleoside diphosphate metabolic process (GO:0009132)	32	1	1.11	-	0.9	1.00E+00	1.00E+00
regulation of mitotic sister chromatid separation (GO:0010965)	32	1	1.11	-	0.9	1.00E+00	1.00E+00
tRNA wobble base modification (GO:0002097)	32	1	1.11	-	0.9	1.00E+00	1.00E+00
methionine biosynthetic process (GO:0009086)	32	1	1.11	-	0.9	1.00E+00	1.00E+00
regulation of mitotic sister chromatid segregation (GO:0033047)	32	1	1.11	-	0.9	1.00E+00	1.00E+00
ribose phosphate metabolic process (GO:0019693)	128	4	4.44	-	0.9	1.00E+00	1.00E+00
mitochondrial transmembrane transport (GO:1990542)	64	2	2.22	-	0.9	1.00E+00	1.00E+00
regulation of TOR signaling (GO:0032006)	32	1	1.11	-	0.9	1.00E+00	1.00E+00
regulation of chromosome separation (GO:1905818)	32	1	1.11	-	0.9	1.00E+00	1.00E+00
regulation of generation of precursor metabolites and energy (GO:0043467)	32	1	1.11	-	0.9	1.00E+00	1.00E+00
macromolecule biosynthetic process (GO:0009059)	1592	49	55.17	-	0.89	3.40E-01	1.00E+00
phosphatidylinositol metabolic process (GO:0046488)	65	2	2.25	-	0.89	1.00E+00	1.00E+00
protein targeting (GO:0006605)	228	7	7.9	-	0.89	1.00E+00	1.00E+00
aerobic respiration (GO:0009060)	98	3	3.4	-	0.88	1.00E+00	1.00E+00
generation of precursor metabolites and energy (GO:0006091)	196	6	6.79	-	0.88	1.00E+00	1.00E+00
intra-Golgi vesicle-mediated transport (GO:0006891)	33	1	1.14	-	0.87	1.00E+00	1.00E+00
positive regulation of protein-containing complex assembly (GO:0031334)	33	1	1.14	-	0.87	1.00E+00	1.00E+00
signal transduction in response to DNA damage (GO:0042770)	33	1	1.14	-	0.87	1.00E+00	1.00E+00
DNA damage checkpoint signaling (GO:0000077)	33	1	1.14	-	0.87	1.00E+00	1.00E+00
ubiquitin-dependent protein catabolic process via the multivesicular body sorting pathway (GO:0043162)	33	1	1.14	-	0.87	1.00E+00	1.00E+00
chromosome localization (GO:0050000)	66	2	2.29	-	0.87	1.00E+00	1.00E+00
negative regulation of mitotic cell cycle phase transition (GO:1901991)	66	2	2.29	-	0.87	1.00E+00	1.00E+00
lipid modification (GO:0030258)	33	1	1.14	-	0.87	1.00E+00	1.00E+00
purine nucleotide catabolic process (GO:0006195)	33	1	1.14	-	0.87	1.00E+00	1.00E+00
nucleolar chromatin organization (GO:1990700)	33	1	1.14	-	0.87	1.00E+00	1.00E+00
establishment of protein localization to mitochondrial membrane (GO:0090151)	33	1	1.14	-	0.87	1.00E+00	1.00E+00
regulation of organelle assembly (GO:1902115)	33	1	1.14	-	0.87	1.00E+00	1.00E+00
DNA-templated transcription initiation (GO:0006352)	67	2	2.32	-	0.86	1.00E+00	1.00E+00
mitotic spindle organization (GO:0007052)	34	1	1.18	-	0.85	1.00E+00	1.00E+00
nucleolus organization (GO:0007000)	34	1	1.18	-	0.85	1.00E+00	1.00E+00
dephosphorylation (GO:0016311)	34	1	1.18	-	0.85	1.00E+00	1.00E+00
DNA replication initiation (GO:0006270)	34	1	1.18	-	0.85	1.00E+00	1.00E+00
sphingolipid biosynthetic process (GO:0030148)	34	1	1.18	-	0.85	1.00E+00	1.00E+00
carbon catabolite regulation of transcription from RNA polymerase II promoter (GO:0000429)	34	1	1.18	-	0.85	1.00E+00	1.00E+00
cellular response to oxidative stress (GO:0034599)	104	3	3.6	-	0.83	1.00E+00	1.00E+00
"retrograde vesicle-mediated transport, Golgi to endoplasmic reticulum (GO:0006890)"	35	1	1.21	-	0.82	1.00E+00	1.00E+00
methionine metabolic process (GO:0006555)	35	1	1.21	-	0.82	1.00E+00	1.00E+00
serine family amino acid metabolic process (GO:0009069)	35	1	1.21	-	0.82	1.00E+00	1.00E+00
peptidyl-lysine modification (GO:0018205)	35	1	1.21	-	0.82	1.00E+00	1.00E+00
carbohydrate transmembrane transport (GO:0034219)	35	1	1.21	-	0.82	1.00E+00	1.00E+00
cellular respiration (GO:0045333)	106	3	3.67	-	0.82	1.00E+00	1.00E+00
sulfur amino acid biosynthetic process (GO:0000097)	36	1	1.25	-	0.8	1.00E+00	1.00E+00
regulation of mitotic nuclear division (GO:0007088)	36	1	1.25	-	0.8	1.00E+00	1.00E+00
carbohydrate transport (GO:0008643)	36	1	1.25	-	0.8	1.00E+00	1.00E+00
regulation of transcription by RNA polymerase I (GO:0006356)	36	1	1.25	-	0.8	1.00E+00	1.00E+00
regulation of mitotic metaphase/anaphase transition (GO:0030071)	36	1	1.25	-	0.8	1.00E+00	1.00E+00
poly(A)+ mRNA export from nucleus (GO:0016973)	36	1	1.25	-	0.8	1.00E+00	1.00E+00
regulation of metaphase/anaphase transition of cell cycle (GO:1902099)	36	1	1.25	-	0.8	1.00E+00	1.00E+00
RNA modification (GO:0009451)	109	3	3.78	-	0.79	1.00E+00	1.00E+00
protein maturation (GO:0051604)	218	6	7.55	-	0.79	7.06E-01	1.00E+00
organonitrogen compound biosynthetic process (GO:1901566)	878	24	30.43	-	0.79	2.31E-01	1.00E+00
localization within membrane (GO:0051668)	184	5	6.38	-	0.78	8.36E-01	1.00E+00
negative regulation of gene expression (GO:0010629)	258	7	8.94	-	0.78	6.04E-01	1.00E+00
positive regulation of cellular catabolic process (GO:0031331)	37	1	1.28	-	0.78	1.00E+00	1.00E+00
inner mitochondrial membrane organization (GO:0007007)	37	1	1.28	-	0.78	1.00E+00	1.00E+00
nucleotide catabolic process (GO:0009166)	37	1	1.28	-	0.78	1.00E+00	1.00E+00
transcription by RNA polymerase I (GO:0006360)	37	1	1.28	-	0.78	1.00E+00	1.00E+00
transcription preinitiation complex assembly (GO:0070897)	37	1	1.28	-	0.78	1.00E+00	1.00E+00
maintenance of protein location in cell (GO:0032507)	37	1	1.28	-	0.78	1.00E+00	1.00E+00
cellular ketone metabolic process (GO:0042180)	37	1	1.28	-	0.78	1.00E+00	1.00E+00
protein localization to mitochondrion (GO:0070585)	74	2	2.56	-	0.78	1.00E+00	1.00E+00
establishment of protein localization to mitochondrion (GO:0072655)	74	2	2.56	-	0.78	1.00E+00	1.00E+00
non-proteinogenic amino acid metabolic process (GO:0170041)	38	1	1.32	-	0.76	1.00E+00	1.00E+00
cellular bud site selection (GO:0000282)	38	1	1.32	-	0.76	1.00E+00	1.00E+00
endoplasmic reticulum organization (GO:0007029)	38	1	1.32	-	0.76	1.00E+00	1.00E+00
ribonucleoside monophosphate biosynthetic process (GO:0009156)	38	1	1.32	-	0.76	1.00E+00	1.00E+00
DNA-templated transcription termination (GO:0006353)	38	1	1.32	-	0.76	1.00E+00	1.00E+00
carbon catabolite regulation of transcription (GO:0045990)	38	1	1.32	-	0.76	1.00E+00	1.00E+00
response to oxidative stress (GO:0006979)	114	3	3.95	-	0.76	7.99E-01	1.00E+00
maturation of SSU-rRNA (GO:0030490)	117	3	4.05	-	0.74	7.99E-01	1.00E+00
establishment of protein localization to membrane (GO:0090150)	117	3	4.05	-	0.74	7.99E-01	1.00E+00
glucose metabolic process (GO:0006006)	39	1	1.35	-	0.74	1.00E+00	1.00E+00
positive regulation of molecular function (GO:0044093)	39	1	1.35	-	0.74	1.00E+00	1.00E+00
carbohydrate derivative biosynthetic process (GO:1901137)	238	6	8.25	-	0.73	5.85E-01	1.00E+00
protein glycosylation (GO:0006486)	80	2	2.77	-	0.72	1.00E+00	1.00E+00
RNA methylation (GO:0001510)	40	1	1.39	-	0.72	1.00E+00	1.00E+00
maintenance of location in cell (GO:0051651)	40	1	1.39	-	0.72	1.00E+00	1.00E+00
purine-containing compound catabolic process (GO:0072523)	40	1	1.39	-	0.72	1.00E+00	1.00E+00
macromolecule glycosylation (GO:0043413)	80	2	2.77	-	0.72	1.00E+00	1.00E+00
glycosylation (GO:0070085)	81	2	2.81	-	0.71	1.00E+00	1.00E+00
nucleoside phosphate catabolic process (GO:1901292)	41	1	1.42	-	0.7	1.00E+00	1.00E+00
ribonucleoside monophosphate metabolic process (GO:0009161)	41	1	1.42	-	0.7	1.00E+00	1.00E+00
nucleoside monophosphate biosynthetic process (GO:0009124)	41	1	1.42	-	0.7	1.00E+00	1.00E+00
maintenance of protein location (GO:0045185)	41	1	1.42	-	0.7	1.00E+00	1.00E+00
regulation of lipid biosynthetic process (GO:0046890)	41	1	1.42	-	0.7	1.00E+00	1.00E+00
glycoprotein biosynthetic process (GO:0009101)	83	2	2.88	-	0.7	1.00E+00	1.00E+00
tRNA metabolic process (GO:0006399)	208	5	7.21	-	0.69	5.60E-01	1.00E+00
mitochondrion organization (GO:0007005)	250	6	8.66	-	0.69	4.78E-01	1.00E+00
organophosphate biosynthetic process (GO:0090407)	250	6	8.66	-	0.69	4.78E-01	1.00E+00
cytochrome complex assembly (GO:0017004)	42	1	1.46	-	0.69	1.00E+00	1.00E+00
sulfur amino acid metabolic process (GO:0000096)	42	1	1.46	-	0.69	1.00E+00	1.00E+00
regulation of exit from mitosis (GO:0007096)	42	1	1.46	-	0.69	1.00E+00	1.00E+00
double-strand break repair via homologous recombination (GO:0000724)	84	2	2.91	-	0.69	1.00E+00	1.00E+00
carbohydrate derivative metabolic process (GO:1901135)	339	8	11.75	-	0.68	3.56E-01	1.00E+00
mitochondrial transport (GO:0006839)	85	2	2.95	-	0.68	1.00E+00	1.00E+00
mitochondrial RNA metabolic process (GO:0000959)	43	1	1.49	-	0.67	1.00E+00	1.00E+00
tRNA processing (GO:0008033)	132	3	4.57	-	0.66	6.30E-01	1.00E+00
spindle organization (GO:0007051)	44	1	1.52	-	0.66	1.00E+00	1.00E+00
glycoprotein metabolic process (GO:0009100)	89	2	3.08	-	0.65	7.71E-01	1.00E+00
small molecule catabolic process (GO:0044282)	136	3	4.71	-	0.64	6.32E-01	1.00E+00
ATP metabolic process (GO:0046034)	46	1	1.59	-	0.63	1.00E+00	1.00E+00
ribosomal large subunit assembly (GO:0000027)	46	1	1.59	-	0.63	1.00E+00	1.00E+00
detoxification (GO:0098754)	46	1	1.59	-	0.63	1.00E+00	1.00E+00
sphingolipid metabolic process (GO:0006665)	47	1	1.63	-	0.61	1.00E+00	1.00E+00
recombinational repair (GO:0000725)	94	2	3.26	-	0.61	7.73E-01	1.00E+00
organic hydroxy compound transport (GO:0015850)	48	1	1.66	-	0.6	1.00E+00	1.00E+00
cellular response to nitrogen levels (GO:0043562)	48	1	1.66	-	0.6	1.00E+00	1.00E+00
positive regulation of translation (GO:0045727)	48	1	1.66	-	0.6	1.00E+00	1.00E+00
cellular response to nitrogen starvation (GO:0006995)	48	1	1.66	-	0.6	1.00E+00	1.00E+00
phosphatidylinositol biosynthetic process (GO:0006661)	50	1	1.73	-	0.58	1.00E+00	1.00E+00
protein-DNA complex assembly (GO:0065004)	101	2	3.5	-	0.57	5.86E-01	1.00E+00
purine ribonucleoside triphosphate metabolic process (GO:0009205)	51	1	1.77	-	0.57	1.00E+00	1.00E+00
nucleoside monophosphate metabolic process (GO:0009123)	51	1	1.77	-	0.57	1.00E+00	1.00E+00
cellular lipid catabolic process (GO:0044242)	51	1	1.77	-	0.57	1.00E+00	1.00E+00
"maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) (GO:0000462)"	103	2	3.57	-	0.56	5.86E-01	1.00E+00
vitamin biosynthetic process (GO:0009110)	52	1	1.8	-	0.55	1.00E+00	1.00E+00
water-soluble vitamin biosynthetic process (GO:0042364)	52	1	1.8	-	0.55	1.00E+00	1.00E+00
response to toxic substance (GO:0009636)	52	1	1.8	-	0.55	1.00E+00	1.00E+00
purine nucleoside triphosphate metabolic process (GO:0009144)	53	1	1.84	-	0.54	1.00E+00	1.00E+00
DNA conformation change (GO:0071103)	54	1	1.87	-	0.53	1.00E+00	1.00E+00
carbohydrate derivative catabolic process (GO:1901136)	55	1	1.91	-	0.52	1.00E+00	1.00E+00
mitochondrial membrane organization (GO:0007006)	55	1	1.91	-	0.52	1.00E+00	1.00E+00
maintenance of location (GO:0051235)	55	1	1.91	-	0.52	1.00E+00	1.00E+00
regulation of cellular response to stress (GO:0080135)	55	1	1.91	-	0.52	1.00E+00	1.00E+00
water-soluble vitamin metabolic process (GO:0006767)	57	1	1.98	-	0.51	7.23E-01	1.00E+00
vitamin metabolic process (GO:0006766)	57	1	1.98	-	0.51	7.23E-01	1.00E+00
endosomal transport (GO:0016197)	114	2	3.95	-	0.51	4.40E-01	1.00E+00
mitotic recombination (GO:0006312)	57	1	1.98	-	0.51	7.23E-01	1.00E+00
ribonucleoside triphosphate metabolic process (GO:0009199)	58	1	2.01	-	0.5	7.23E-01	1.00E+00
cellular modified amino acid metabolic process (GO:0006575)	60	1	2.08	-	0.48	7.24E-01	1.00E+00
translation (GO:0006412)	372	6	12.89	-	0.47	4.02E-02	6.77E-01
regulation of response to stress (GO:0080134)	63	1	2.18	-	0.46	7.26E-01	1.00E+00
subtelomeric heterochromatin formation (GO:0031509)	63	1	2.18	-	0.46	7.26E-01	1.00E+00
cytosolic transport (GO:0016482)	64	1	2.22	-	0.45	7.27E-01	1.00E+00
membrane lipid biosynthetic process (GO:0046467)	64	1	2.22	-	0.45	7.27E-01	1.00E+00
protein folding (GO:0006457)	131	2	4.54	-	0.44	3.30E-01	1.00E+00
protein targeting to mitochondrion (GO:0006626)	66	1	2.29	-	0.44	7.29E-01	1.00E+00
nucleoside triphosphate metabolic process (GO:0009141)	66	1	2.29	-	0.44	7.29E-01	1.00E+00
RNA-templated DNA biosynthetic process (GO:0006278)	67	1	2.32	-	0.43	7.31E-01	1.00E+00
telomere organization (GO:0032200)	134	2	4.64	-	0.43	3.33E-01	1.00E+00
mitochondrial gene expression (GO:0140053)	150	2	5.2	-	0.38	1.77E-01	1.00E+00
membrane lipid metabolic process (GO:0006643)	79	1	2.74	-	0.37	5.27E-01	1.00E+00
glycerophospholipid biosynthetic process (GO:0046474)	81	1	2.81	-	0.36	5.31E-01	1.00E+00
telomere maintenance (GO:0000723)	82	1	2.84	-	0.35	5.33E-01	1.00E+00
constitutive heterochromatin formation (GO:0140719)	82	1	2.84	-	0.35	5.33E-01	1.00E+00
glycerolipid biosynthetic process (GO:0045017)	84	1	2.91	-	0.34	3.71E-01	1.00E+00
carboxylic acid catabolic process (GO:0046395)	84	1	2.91	-	0.34	3.71E-01	1.00E+00
organic acid catabolic process (GO:0016054)	85	1	2.95	-	0.34	3.71E-01	1.00E+00
viral translation (GO:0019081)	90	1	3.12	-	0.32	3.76E-01	1.00E+00
viral gene expression (GO:0019080)	90	1	3.12	-	0.32	3.76E-01	1.00E+00
viral process (GO:0016032)	90	1	3.12	-	0.32	3.76E-01	1.00E+00
viral translational frameshifting (GO:0075523)	90	1	3.12	-	0.32	3.76E-01	1.00E+00
