FUNCTION	Ref_num	List_num	expected	over under	foldEnrichment	pval	FDR
protein kinase A catalytic subunit binding (GO:0034236)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
ATP transmembrane transporter activity (GO:0005347)	7	0	.24	-	 < 0.01	1.00E00	1.00E00
purine ribonucleotide transmembrane transporter activity (GO:0005346)	11	0	.38	-	 < 0.01	1.00E00	1.00E00
D-loop DNA binding (GO:0062037)	2	0	.07	-	 < 0.01	1.00E00	1.00E00
FFAT motif binding (GO:0033149)	2	0	.07	-	 < 0.01	1.00E00	1.00E00
5S rDNA binding (GO:0080084)	7	0	.24	-	 < 0.01	1.00E00	1.00E00
prosthetic group binding (GO:0051192)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
serine-type endopeptidase activity (GO:0004252)	13	0	.45	-	 < 0.01	1.00E00	1.00E00
spindle pole body-nuclear membrane anchor activity (GO:0106166)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
clathrin heavy chain binding (GO:0032050)	3	0	.10	-	 < 0.01	1.00E00	1.00E00
glyoxylate reductase (NADH) activity (GO:0047964)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
ethanolamine transmembrane transporter activity (GO:0034228)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
5'-3' DNA exonuclease activity (GO:0035312)	7	0	.24	-	 < 0.01	1.00E00	1.00E00
nucleotide-sugar transmembrane transporter activity (GO:0005338)	5	0	.17	-	 < 0.01	1.00E00	1.00E00
oxidoreductase activity, acting on the CH-OH group of donors, oxygen as acceptor (GO:0016899)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
oxidoreductase activity, acting on the CH-OH group of donors, cytochrome as acceptor (GO:0016898)	4	0	.14	-	 < 0.01	1.00E00	1.00E00
cadmium ion binding (GO:0046870)	2	0	.07	-	 < 0.01	1.00E00	1.00E00
endonuclease activity, active with either ribo- or deoxyribonucleic acids and producing 5'-phosphomonoesters (GO:0016893)	74	0	2.58	-	 < 0.01	1.86E-01	1.00E00
RNA endonuclease activity, producing 3'-phosphomonoesters (GO:0016892)	4	0	.14	-	 < 0.01	1.00E00	1.00E00
RNA endonuclease activity, producing 5'-phosphomonoesters (GO:0016891)	67	0	2.33	-	 < 0.01	1.75E-01	1.00E00
glycero-3-phosphocholine acyltransferase activity (GO:0106158)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
exoribonuclease activator activity (GO:0044692)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
NAD-dependent histone H3K14 deacetylase activity (GO:0032041)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
purine nucleobase binding (GO:0002060)	2	0	.07	-	 < 0.01	1.00E00	1.00E00
glycerol 2-dehydrogenase (NADP+) activity (GO:0047953)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
glycerol-3-phosphate dehydrogenase [NAD(P)+] activity (GO:0047952)	2	0	.07	-	 < 0.01	1.00E00	1.00E00
long-chain fatty acid transmembrane transporter activity (GO:0005324)	4	0	.14	-	 < 0.01	1.00E00	1.00E00
peptide N-acetyltransferase activity (GO:0034212)	31	0	1.08	-	 < 0.01	6.26E-01	1.00E00
initiator methionyl aminopeptidase activity (GO:0004239)	2	0	.07	-	 < 0.01	1.00E00	1.00E00
endodeoxyribonuclease activity, producing 5'-phosphomonoesters (GO:0016888)	7	0	.24	-	 < 0.01	1.00E00	1.00E00
myosin II heavy chain binding (GO:0032038)	5	0	.17	-	 < 0.01	1.00E00	1.00E00
mannitol 2-dehydrogenase activity (GO:0050086)	2	0	.07	-	 < 0.01	1.00E00	1.00E00
cyclo-ligase activity (GO:0016882)	4	0	.14	-	 < 0.01	1.00E00	1.00E00
myosin I heavy chain binding (GO:0032037)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
acid-amino acid ligase activity (GO:0016881)	9	0	.31	-	 < 0.01	1.00E00	1.00E00
myosin heavy chain binding (GO:0032036)	6	0	.21	-	 < 0.01	1.00E00	1.00E00
acid-ammonia (or amide) ligase activity (GO:0016880)	4	0	.14	-	 < 0.01	1.00E00	1.00E00
myosin II tail binding (GO:0032035)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
myosin II light chain binding (GO:0032033)	2	0	.07	-	 < 0.01	1.00E00	1.00E00
myosin I tail binding (GO:0032032)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
rRNA (adenine-N1-)-methyltransferase activity (GO:0106142)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
flavin prenyltransferase activity (GO:0106141)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
adenine binding (GO:0002055)	2	0	.07	-	 < 0.01	1.00E00	1.00E00
nucleobase binding (GO:0002054)	2	0	.07	-	 < 0.01	1.00E00	1.00E00
glycolipid floppase activity (GO:0034202)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
L-glutamate transmembrane transporter activity (GO:0005313)	6	0	.21	-	 < 0.01	1.00E00	1.00E00
acid-thiol ligase activity (GO:0016878)	10	0	.35	-	 < 0.01	1.00E00	1.00E00
ligase activity, forming carbon-sulfur bonds (GO:0016877)	19	0	.66	-	 < 0.01	1.00E00	1.00E00
dicarboxylic acid transmembrane transporter activity (GO:0005310)	10	0	.35	-	 < 0.01	1.00E00	1.00E00
ligase activity, forming carbon-oxygen bonds (GO:0016875)	37	0	1.29	-	 < 0.01	6.40E-01	1.00E00
myosin tail binding (GO:0032029)	2	0	.07	-	 < 0.01	1.00E00	1.00E00
intramolecular lyase activity (GO:0016872)	3	0	.10	-	 < 0.01	1.00E00	1.00E00
myosin light chain binding (GO:0032027)	2	0	.07	-	 < 0.01	1.00E00	1.00E00
purine phosphoribosyltransferase activity (GO:0106130)	4	0	.14	-	 < 0.01	1.00E00	1.00E00
glucose-6-phosphate 1-epimerase activity (GO:0047938)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
N-acylphosphatidylethanolamine-specific phospholipase D activity (GO:0070290)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
intramolecular phosphotransferase activity (GO:0016868)	12	0	.42	-	 < 0.01	1.00E00	1.00E00
L-tyrosine transmembrane transporter activity (GO:0005302)	6	0	.21	-	 < 0.01	1.00E00	1.00E00
intramolecular transferase activity (GO:0016866)	26	0	.91	-	 < 0.01	1.00E00	1.00E00
high-affinity tryptophan transmembrane transporter activity (GO:0005300)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
intramolecular oxidoreductase activity, transposing S-S bonds (GO:0016864)	6	0	.21	-	 < 0.01	1.00E00	1.00E00
intramolecular oxidoreductase activity, transposing C=C bonds (GO:0016863)	5	0	.17	-	 < 0.01	1.00E00	1.00E00
intramolecular oxidoreductase activity, interconverting keto- and enol-groups (GO:0016862)	2	0	.07	-	 < 0.01	1.00E00	1.00E00
cis-trans isomerase activity (GO:0016859)	16	0	.56	-	 < 0.01	1.00E00	1.00E00
racemase and epimerase activity, acting on carbohydrates and derivatives (GO:0016857)	5	0	.17	-	 < 0.01	1.00E00	1.00E00
racemase and epimerase activity, acting on amino acids and derivatives (GO:0016855)	2	0	.07	-	 < 0.01	1.00E00	1.00E00
racemase and epimerase activity (GO:0016854)	8	0	.28	-	 < 0.01	1.00E00	1.00E00
vitamin B6 binding (GO:0070279)	39	0	1.36	-	 < 0.01	6.46E-01	1.00E00
phosphatidylinositol-3,5-bisphosphate binding (GO:0080025)	15	0	.52	-	 < 0.01	1.00E00	1.00E00
phosphorus-oxygen lyase activity (GO:0016849)	2	0	.07	-	 < 0.01	1.00E00	1.00E00
4-amino-4-deoxychorismate synthase activity (GO:0046820)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
L-leucine:2-oxoglutarate aminotransferase activity (GO:0050048)	2	0	.07	-	 < 0.01	1.00E00	1.00E00
amine-lyase activity (GO:0016843)	6	0	.21	-	 < 0.01	1.00E00	1.00E00
delta7-sterol 5(6)-desaturase activity (GO:0050046)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
amidine-lyase activity (GO:0016842)	4	0	.14	-	 < 0.01	1.00E00	1.00E00
ammonia-lyase activity (GO:0016841)	4	0	.14	-	 < 0.01	1.00E00	1.00E00
carbon-nitrogen lyase activity (GO:0016840)	14	0	.49	-	 < 0.01	1.00E00	1.00E00
5'-tyrosyl-DNA phosphodiesterase activity (GO:0070260)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
carbon-oxygen lyase activity, acting on phosphates (GO:0016838)	3	0	.10	-	 < 0.01	1.00E00	1.00E00
hydro-lyase activity (GO:0016836)	37	0	1.29	-	 < 0.01	6.40E-01	1.00E00
carbon-oxygen lyase activity (GO:0016835)	45	0	1.57	-	 < 0.01	4.07E-01	1.00E00
oxo-acid-lyase activity (GO:0016833)	8	0	.28	-	 < 0.01	1.00E00	1.00E00
aldehyde-lyase activity (GO:0016832)	7	0	.24	-	 < 0.01	1.00E00	1.00E00
carboxy-lyase activity (GO:0016831)	23	0	.80	-	 < 0.01	1.00E00	1.00E00
phosphatidylinositol 3-kinase binding (GO:0043548)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
vitamin transmembrane transporter activity (GO:0090482)	7	0	.24	-	 < 0.01	1.00E00	1.00E00
tyrosyl-DNA phosphodiesterase activity (GO:0070259)	2	0	.07	-	 < 0.01	1.00E00	1.00E00
ATPase binding (GO:0051117)	3	0	.10	-	 < 0.01	1.00E00	1.00E00
hydrolase activity, acting on acid carbon-carbon bonds, in ketonic substances (GO:0016823)	2	0	.07	-	 < 0.01	1.00E00	1.00E00
hydrolase activity, acting on acid carbon-carbon bonds (GO:0016822)	2	0	.07	-	 < 0.01	1.00E00	1.00E00
protein serine/threonine kinase activator activity (GO:0043539)	9	0	.31	-	 < 0.01	1.00E00	1.00E00
ACP phosphopantetheine attachment site binding (GO:0044620)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
adenosine 5'-monophosphoramidase activity (GO:0043530)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in nitriles (GO:0016815)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
ketoreductase activity (GO:0045703)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in linear amidines (GO:0016813)	2	0	.07	-	 < 0.01	1.00E00	1.00E00
transmembrane signaling receptor activity (GO:0004888)	11	0	.38	-	 < 0.01	1.00E00	1.00E00
hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in cyclic amides (GO:0016812)	5	0	.17	-	 < 0.01	1.00E00	1.00E00
hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in linear amides (GO:0016811)	42	0	1.46	-	 < 0.01	4.03E-01	1.00E00
cyclin-dependent protein serine/threonine kinase activator activity (GO:0061575)	4	0	.14	-	 < 0.01	1.00E00	1.00E00
cysteine-type carboxypeptidase activity (GO:0016807)	2	0	.07	-	 < 0.01	1.00E00	1.00E00
dipeptidase activity (GO:0016805)	2	0	.07	-	 < 0.01	1.00E00	1.00E00
ether hydrolase activity (GO:0016803)	2	0	.07	-	 < 0.01	1.00E00	1.00E00
hydrolase activity, acting on ether bonds (GO:0016801)	2	0	.07	-	 < 0.01	1.00E00	1.00E00
steroid dehydrogenase activity, acting on the CH-CH group of donors (GO:0033765)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
actin lateral binding (GO:0003786)	2	0	.07	-	 < 0.01	1.00E00	1.00E00
actin monomer binding (GO:0003785)	3	0	.10	-	 < 0.01	1.00E00	1.00E00
N8-acetylspermidine:oxygen oxidoreductase (propane-1,3-diamine-forming) activity (GO:0052897)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
cysteine-type endopeptidase inhibitor activity (GO:0004869)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
serine-type endopeptidase inhibitor activity (GO:0004867)	2	0	.07	-	 < 0.01	1.00E00	1.00E00
endopeptidase inhibitor activity (GO:0004866)	5	0	.17	-	 < 0.01	1.00E00	1.00E00
indoleamine 2,3-dioxygenase activity (GO:0033754)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
protein serine/threonine phosphatase inhibitor activity (GO:0004865)	7	0	.24	-	 < 0.01	1.00E00	1.00E00
protein phosphatase inhibitor activity (GO:0004864)	12	0	.42	-	 < 0.01	1.00E00	1.00E00
mRNA 3'-UTR AU-rich region binding (GO:0035925)	7	0	.24	-	 < 0.01	1.00E00	1.00E00
L-methionine-(R)-S-oxide reductase activity (GO:0033745)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
D-xylulokinase activity (GO:0004856)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
L-methionine:thioredoxin-disulfide S-oxidoreductase activity (GO:0033744)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
peptide-methionine (R)-S-oxide reductase activity (GO:0033743)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
uroporphyrinogen decarboxylase activity (GO:0004853)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
uroporphyrinogen-III synthase activity (GO:0004852)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
uroporphyrin-III C-methyltransferase activity (GO:0004851)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
3-demethylubiquinol-n 3-O-methyltransferase activity (GO:0061542)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
histone H3 demethylase activity (GO:0141052)	4	0	.14	-	 < 0.01	1.00E00	1.00E00
histone H4K deacetylase activity (GO:0141051)	2	0	.07	-	 < 0.01	1.00E00	1.00E00
histone H3K deacetylase activity (GO:0141050)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
nascent polypeptide-associated complex binding (GO:1990593)	3	0	.10	-	 < 0.01	1.00E00	1.00E00
electron transfer activity (GO:0009055)	46	0	1.60	-	 < 0.01	4.09E-01	1.00E00
FMN reductase (NADH) activity (GO:0052874)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
FMN reductase (NADPH) activity (GO:0052873)	2	0	.07	-	 < 0.01	1.00E00	1.00E00
misfolded protein binding (GO:0051787)	8	0	.28	-	 < 0.01	1.00E00	1.00E00
uridine kinase activity (GO:0004849)	2	0	.07	-	 < 0.01	1.00E00	1.00E00
ureidoglycolate hydrolase activity (GO:0004848)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
urea carboxylase activity (GO:0004847)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
uracil phosphoribosyltransferase activity (GO:0004845)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
low-affinity tryptophan transmembrane transporter activity (GO:0022893)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
uracil DNA N-glycosylase activity (GO:0004844)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
molecular tag activity (GO:0141047)	10	0	.35	-	 < 0.01	1.00E00	1.00E00
thiamine pyrophosphate transmembrane transporter activity (GO:0090422)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
Atg8-family conjugating enzyme activity (GO:0141046)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
protein disulfide isomerase activity (GO:0003756)	6	0	.21	-	 < 0.01	1.00E00	1.00E00
peptidyl-prolyl cis-trans isomerase activity (GO:0003755)	16	0	.56	-	 < 0.01	1.00E00	1.00E00
oxidosqualene cyclase activity (GO:0031559)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
very-long-chain 3-oxoacyl-CoA reductase activity (GO:0141040)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
UMP/dUMP kinase activity (GO:0009041)	2	0	.07	-	 < 0.01	1.00E00	1.00E00
ubiquitin activating enzyme activity (GO:0004839)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
macromolecule transmembrane transporter activity (GO:0022884)	29	0	1.01	-	 < 0.01	6.25E-01	1.00E00
tubulin-tyrosine ligase activity (GO:0004835)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
tryptophan synthase activity (GO:0004834)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
tryptophan 2,3-dioxygenase activity (GO:0004833)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
aldehyde dehydrogenase (NADP+) activity (GO:0033721)	2	0	.07	-	 < 0.01	1.00E00	1.00E00
valine-tRNA ligase activity (GO:0004832)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
decanoate-CoA ligase activity (GO:0102391)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
CTP-dependent diacylglycerol kinase activity (GO:0141035)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
translation release factor activity (GO:0003747)	6	0	.21	-	 < 0.01	1.00E00	1.00E00
tyrosine-tRNA ligase activity (GO:0004831)	2	0	.07	-	 < 0.01	1.00E00	1.00E00
translation elongation factor activity (GO:0003746)	13	0	.45	-	 < 0.01	1.00E00	1.00E00
tryptophan-tRNA ligase activity (GO:0004830)	2	0	.07	-	 < 0.01	1.00E00	1.00E00
peptidyl-proline dioxygenase activity (GO:0031543)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
NADPHX epimerase activity (GO:0052857)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
NADHX epimerase activity (GO:0052856)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
inositol trisphosphate kinase activity (GO:0051766)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
polyprenol reductase activity (GO:0102389)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
threonine-tRNA ligase activity (GO:0004829)	2	0	.07	-	 < 0.01	1.00E00	1.00E00
inositol tetrakisphosphate kinase activity (GO:0051765)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
serine-tRNA ligase activity (GO:0004828)	2	0	.07	-	 < 0.01	1.00E00	1.00E00
proline-tRNA ligase activity (GO:0004827)	2	0	.07	-	 < 0.01	1.00E00	1.00E00
phenylalanine-tRNA ligase activity (GO:0004826)	3	0	.10	-	 < 0.01	1.00E00	1.00E00
methionine-tRNA ligase activity (GO:0004825)	2	0	.07	-	 < 0.01	1.00E00	1.00E00
lysine-tRNA ligase activity (GO:0004824)	2	0	.07	-	 < 0.01	1.00E00	1.00E00
leucine-tRNA ligase activity (GO:0004823)	2	0	.07	-	 < 0.01	1.00E00	1.00E00
isoleucine-tRNA ligase activity (GO:0004822)	2	0	.07	-	 < 0.01	1.00E00	1.00E00
histidine-tRNA ligase activity (GO:0004821)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
palmitoyl hydrolase activity (GO:0098599)	2	0	.07	-	 < 0.01	1.00E00	1.00E00
glycine-tRNA ligase activity (GO:0004820)	2	0	.07	-	 < 0.01	1.00E00	1.00E00
mRNA 3'-UTR binding (GO:0003730)	19	0	.66	-	 < 0.01	1.00E00	1.00E00
inositol-1-diphosphate-2,3,4,5,6-pentakisphosphate diphosphatase activity (GO:0052843)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
glutamine-tRNA ligase activity (GO:0004819)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
tRNA pseudouridine(38/39) synthase activity (GO:0160154)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
glutamate-tRNA ligase activity (GO:0004818)	2	0	.07	-	 < 0.01	1.00E00	1.00E00
mitochondrial tRNA pseudouridine(27/28) synthase activity (GO:0160153)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
cysteine-tRNA ligase activity (GO:0004817)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
tRNA pseudouridine(31) synthase activity (GO:0160152)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
asparagine-tRNA ligase activity (GO:0004816)	2	0	.07	-	 < 0.01	1.00E00	1.00E00
tRNA pseudouridine(32) synthase activity (GO:0160151)	2	0	.07	-	 < 0.01	1.00E00	1.00E00
aspartate-tRNA ligase activity (GO:0004815)	2	0	.07	-	 < 0.01	1.00E00	1.00E00
alpha-1,4-mannosyltransferase activity (GO:0051751)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
tRNA pseudouridine(13) synthase activity (GO:0160150)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
arginine-tRNA ligase activity (GO:0004814)	2	0	.07	-	 < 0.01	1.00E00	1.00E00
delta(3,5)-delta(2,4)-dienoyl-CoA isomerase activity (GO:0051750)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
alanine-tRNA ligase activity (GO:0004813)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
aminoacyl-tRNA ligase activity (GO:0004812)	37	0	1.29	-	 < 0.01	6.40E-01	1.00E00
oxidoreductase activity, acting on NAD(P)H, oxygen as acceptor (GO:0050664)	4	0	.14	-	 < 0.01	1.00E00	1.00E00
tRNA threonylcarbamoyladenosine dehydratase (GO:0061503)	2	0	.07	-	 < 0.01	1.00E00	1.00E00
CCA tRNA nucleotidyltransferase activity (GO:0004810)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
double-stranded RNA binding (GO:0003725)	7	0	.24	-	 < 0.01	1.00E00	1.00E00
NADP binding (GO:0050661)	20	0	.70	-	 < 0.01	1.00E00	1.00E00
4-hydroxybenzoate nonaprenyltransferase activity (GO:0047293)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
telomerase RNA reverse transcriptase activity (GO:0003721)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
telomerase activity (GO:0003720)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
inositol monophosphate phosphatase activity (GO:0052834)	2	0	.07	-	 < 0.01	1.00E00	1.00E00
inositol monophosphate 4-phosphatase activity (GO:0052833)	2	0	.07	-	 < 0.01	1.00E00	1.00E00
tRNA pseudouridine(55) synthase activity (GO:0160148)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
succinate-semialdehyde dehydrogenase [NAD(P)+] activity (GO:0009013)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
UTP-monosaccharide-1-phosphate uridylyltransferase activity (GO:0051748)	2	0	.07	-	 < 0.01	1.00E00	1.00E00
inositol monophosphate 3-phosphatase activity (GO:0052832)	2	0	.07	-	 < 0.01	1.00E00	1.00E00
21S rRNA pseudouridine(2819) synthase activity (GO:0160143)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
triose-phosphate isomerase activity (GO:0004807)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
transketolase activity (GO:0004802)	2	0	.07	-	 < 0.01	1.00E00	1.00E00
transaldolase activity (GO:0004801)	2	0	.07	-	 < 0.01	1.00E00	1.00E00
transcription elongation factor activity (GO:0003711)	2	0	.07	-	 < 0.01	1.00E00	1.00E00
kynureninase activity (GO:0030429)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
site-specific recombinase activity (GO:0009009)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
DNA-3-methylguanine glycosylase activity (GO:0052822)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
DNA-7-methyladenine glycosylase activity (GO:0052821)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
voltage-gated monoatomic cation channel activity (GO:0022843)	2	0	.07	-	 < 0.01	1.00E00	1.00E00
narrow pore channel activity (GO:0022842)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
potassium ion leak channel activity (GO:0022841)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
leak channel activity (GO:0022840)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
peptidase inhibitor activity (GO:0030414)	6	0	.21	-	 < 0.01	1.00E00	1.00E00
cyclin-dependent protein kinase activity (GO:0097472)	8	0	.28	-	 < 0.01	1.00E00	1.00E00
NAD transmembrane transporter activity (GO:0051724)	2	0	.07	-	 < 0.01	1.00E00	1.00E00
protein methylesterase activity (GO:0051723)	2	0	.07	-	 < 0.01	1.00E00	1.00E00
protein C-terminal methylesterase activity (GO:0051722)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
protein phosphatase 2A binding (GO:0051721)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
voltage-gated channel activity (GO:0022832)	6	0	.21	-	 < 0.01	1.00E00	1.00E00
wide pore channel activity (GO:0022829)	4	0	.14	-	 < 0.01	1.00E00	1.00E00
single-stranded 3'-5' DNA helicase activity (GO:1990518)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
MCM complex binding (GO:1904931)	2	0	.07	-	 < 0.01	1.00E00	1.00E00
Arp2/3 complex binding (GO:0071933)	5	0	.17	-	 < 0.01	1.00E00	1.00E00
dynein complex binding (GO:0070840)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
tRNA (adenine(58)-N1)-methyltransferase activity (GO:0160107)	2	0	.07	-	 < 0.01	1.00E00	1.00E00
magnesium ion transmembrane transporter activity (GO:0015095)	6	0	.21	-	 < 0.01	1.00E00	1.00E00
tRNA (guanine(26)-N2)-dimethyltransferase activity (GO:0160104)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
ferrous iron transmembrane transporter activity (GO:0015093)	5	0	.17	-	 < 0.01	1.00E00	1.00E00
tRNA (guanine(26)-N2/guanine(27)-N2)-dimethyltransferase activity (GO:0160103)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
tRNA (guanine(10)-N2)-methyltransferase activity (GO:0160102)	3	0	.10	-	 < 0.01	1.00E00	1.00E00
delta24-sterol reductase activity (GO:0050614)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
delta14-sterol reductase activity (GO:0050613)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
protein carrier chaperone (GO:0140597)	10	0	.35	-	 < 0.01	1.00E00	1.00E00
superoxide-generating NAD(P)H oxidase activity (GO:0016175)	2	0	.07	-	 < 0.01	1.00E00	1.00E00
double-strand/single-strand DNA junction binding (GO:0000406)	2	0	.07	-	 < 0.01	1.00E00	1.00E00
bubble DNA binding (GO:0000405)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
cobalt ion transmembrane transporter activity (GO:0015087)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
heteroduplex DNA loop binding (GO:0000404)	5	0	.17	-	 < 0.01	1.00E00	1.00E00
Y-form DNA binding (GO:0000403)	9	0	.31	-	 < 0.01	1.00E00	1.00E00
crossed form four-way junction DNA binding (GO:0000402)	2	0	.07	-	 < 0.01	1.00E00	1.00E00
four-way junction DNA binding (GO:0000400)	14	0	.49	-	 < 0.01	1.00E00	1.00E00
